Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBLAC,Cuba,Third National Communication and First Biennial Update Report to the UNFCCC,https://open.undp.org/projects/00085069,CUB,872499,850804,850804
RBLAC,Costa Rica,CREACION DE CAPACIDADES TRASVERSALES,https://open.undp.org/projects/00076472,CRI,1058825,937874,937874
RBLAC,Chile,Proyecto con fondos del Protocolo de Montreal para la preparaciÃ³n de estrategias nacionales para cumplir con los nuevos requisitos del calendario de eliminaciÃ³n de los HCFC (HPMP Fase II).,https://open.undp.org/projects/00087054,CHL,2777888,1873971,1873971
RBLAC,Cuba,"APOYO AL FORTALECIMIENTO DE LAS CAPACIDADES INSTITUCIONALES PARA LA GESTION ESTRATEGICA DEL DESARROLLO LOCAL, INSERTANDOSE ESTRATEGICAMENTE EN LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO INTEGRAL TERRITORIAL EN CUBA (PADIT)",https://open.undp.org/projects/00093029,CUB,3013139,2166817,2166817
RBLAC,Uruguay,URU/09/G31-ContaminaciÃ³n en el RÃ­o de la Plata,https://open.undp.org/projects/00057766,URY,3345918,2614123,2614123
RBLAC,Cuba,GESTION DEL CONOCIMIENTO Y FORTALECIMIENTO DE CAPACIDADES PARA LA IMPLEMENTACION DE LA PLATAFORMA ARTICULADA PARA EL DESARROLLO TERRITORIAL INTEGRAL,https://open.undp.org/projects/00093545,CUB,6409145,4817953,4817953
RBLAC,Colombia,Desarrollo sostenible e incluyente Antioquia,https://open.undp.org/projects/00080782,COL,11135848,7605499,7605499
RBLAC,Cuba,Hydrometeorological Early Warninig Sytems (EWS) of Zaza and Agabama,https://open.undp.org/projects/00086663,CUB,1409852,1035585,1035585
RBLAC,Colombia,Apoyo GestiÃ³n Espacios Territoriales,https://open.undp.org/projects/00109421,COL,24110119,20026334,20026334
RBLAC,Peru,GestiÃ³n ambiental del mercurio en la minerÃ­a del oro artesanal en pequeÃ±a escala para la protecciÃ³n de la salud humana y el medio ambiente,https://open.undp.org/projects/00096515,PER,130000.00,130000.00,130000
RBLAC,Peru,EliminaciÃ³n HCFCs PerÃº,https://open.undp.org/projects/00083170,PER,232671.00,232670.00,232670
RBLAC,Panama,Oferta Educativa ITSE,https://open.undp.org/projects/00099505,PAN,604769.00,476066.00,476066
RBLAC,Peru,GestiÃ³n Integrada Recursos HÃ­dricos,https://open.undp.org/projects/00083826,PER,1335000.00,1306178.00,1306178
RBLAC,Colombia,Estrategia Ambiental Sector Minero Energetico,https://open.undp.org/projects/00090840,COL,1575510.00,1370163.00,1370163
RBLAC,Uruguay,Programa de Mejoramiento de Barrios III (PMB III),https://open.undp.org/projects/00130942,URY,2789889.00,2442715.00,2442715
RBLAC,Cuba,Emergencia SequÃ­a Region Oriental Fase II,https://open.undp.org/projects/00113800,CUB,1665097,1216112,1216112
RBLAC,Mexico,RecuperaciÃ³n Temprana en comunidades tormenta CristÃ³bal,https://open.undp.org/projects/00129467,MEX,414357,268697,268697
