Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBA,Kenya,Strengthening Public Accountability & Integrity Systems,https://open.undp.org/projects/00126130,KEN,659881,646124,646124
RBAP,Fiji,PACIFIC COASTAL AQUIFERS,https://open.undp.org/projects/00112065,FJI,1852260,647612,647612
RBAP,Cambodia,Medical Waste Management-CoVID19,https://open.undp.org/projects/00133431,KHM,930203,652708,652708
RBEC,Republic of Moldova,Dniester Impact Study,https://open.undp.org/projects/00109975,MDA,921689,653449,653449
RBAP,Cambodia,Integrated Natural Resource Management (INRM),https://open.undp.org/projects/00088934,KHM,2485197,667032,667032
RBEC,Turkey,Environment and social resilience,https://open.undp.org/projects/00114367,TUR,791900,685502,685502
RBEC,Uzbekistan,Enhancing Multi-Hazard Early Warning System,https://open.undp.org/projects/00120487,UZB,1096350,720691,720691
RBAP,Fiji,Managing risks associated with the Gold Ridge Mine TSF,https://open.undp.org/projects/00097191,SLB,724790,721103,721103
RBA,Ghana,Accelerator Lab- Ghana,https://open.undp.org/projects/00120467,GHA,957779,734688,734688
RBA,Swaziland,Strengthening EWS & Climate Services in Eswatini,https://open.undp.org/projects/00119853,SWZ,1106790,750206,750206
RBAP,China,Resilience Community Construction in Zhouqu County,https://open.undp.org/projects/00121313,CHN,1206884,757390,757390
RBEC,Tajikistan,Integrated landscape approach to climate resilience,https://open.undp.org/projects/00113350,TJK,4166021,763973,763973
RBA,Swaziland,Increasing Farmer Resilience to Climate Change,https://open.undp.org/projects/00110491,SWZ,1097833,765226,765226
RBA,Swaziland,Accelerator Lab - Eswatini,https://open.undp.org/projects/00120274,SWZ,905162,775046,775046
RBAS,Sudan,"Water, Sanitation, and Hygiene to sustain and expand access to safe water supply",https://open.undp.org/projects/00061729,SDN,729738,783401,783401
RBEC,Armenia,Hydro-meteorological Service Modernization,https://open.undp.org/projects/00111782,ARM,802886,799822,799822
RBEC,Tajikistan,Building Climate Resilience in Agriculture and Water Se,https://open.undp.org/projects/00114009,TJK,1133285,830337,830337
RBEC,Azerbaijan,â€œNational Adaptation Plan (NAP),https://open.undp.org/projects/00125580,AZE,1668177,830732,830732
RBEC,Kazakhstan,"Irrigation and drainage in Kazakhstan,capacity building",https://open.undp.org/projects/00097216,KAZ,1613427,833420,833420
RBEC,Tajikistan,Strengthening Disaster Risk Governance in Tajikistan,https://open.undp.org/projects/00097337,TJK,1032232,835189,835189
RBAP,Myanmar,Integrated Protected Area Land And Seascape Management,https://open.undp.org/projects/00089107,MMR,967196,854849,854849
RBAP,Philippines,SHIELD - UNDP,https://open.undp.org/projects/00128629,PHL,1241390,860912,853259
,,SHILED - NRC,https://open.undp.org/projects/00140485,PHL,145488,4416,4416
,,SHIELD - CBCS,https://open.undp.org/projects/00140487,PHL,139925,807,807
,,SHILED - PBSP,https://open.undp.org/projects/00140488,PHL,95634,2430,2430
RBA,Gabon,Sustainable Management of the Mbe River Forested,https://open.undp.org/projects/00061912,GAB,1118147,865147,865147
RBAP,China,Response to COVID-19 in Asia and the Pacific Region,https://open.undp.org/projects/00132932,CHN,1036566,866024,866024
RBAS,Syria,Strength Humanitarian Recovery and Resilience in Aleppo,https://open.undp.org/projects/00106909,SYR,876542,875660,875660
RBAS,Lebanon,Institutional Strengthening - Phase XII,https://open.undp.org/projects/00061323,LBN,1029043.00,880230.00,880230
RBLAC,Costa Rica,International waters SIXAOLA,https://open.undp.org/projects/00118025,CRI,1273197,881080,881080
RBA,Namibia,Improving Hepatitis E Response Namibia,https://open.undp.org/projects/00118230,NAM,925342.00,886612.00,886612
RBA,Namibia,Resilient Informal Food Systems,https://open.undp.org/projects/00129047,NAM,1306872,957477,957477
RBEC,Tajikistan,Facilitating Climate Resilience in Tajikistan,https://open.undp.org/projects/00104060,TJK,963251,964682,964682
RBAP,Fiji,Integrating global environment commitments in investment and development decision-making,https://open.undp.org/projects/00083083,SLB,1092577,977738,977738
RBA,Uganda,NAMA on Integrated Waste Management and Biogas in Uganda,https://open.undp.org/projects/00100437,UGA,3771198,987788,987788
RBEC,Kyrgyzstan,Transboundary Cooperation in Chu and Talas River Basin,https://open.undp.org/projects/00081980,"KGZ, KAZ",1188011,999890,999890
RBEC,Kosovo,Crossborder Drin Basin management,https://open.undp.org/projects/00086486,Kosovo (As per UNSCR 1244),1230648,1003222,1003222
RBAP,Fiji,Climate Early Warning Systems in PICs (SSC),https://open.undp.org/projects/00105013,FJI,2208232,1018241,1018241
RBAS,Sudan,Updating Sudan Nationally Determined Contributions (NDC),https://open.undp.org/projects/00122414,SDN,1453463,1020904,1020904
RBAS,Egypt,Participatory Strategic Planning for Balanced Spatial Development,https://open.undp.org/projects/00107093,EGY,1157079,1055560,1055560
RBAP,China,China-MOFCOM Trilateral,https://open.undp.org/projects/00078499,CHN,5914753,1055862,1055862
RBLAC,Jamaica,Strengthening Human Resilience,https://open.undp.org/projects/00104739,JAM,1499562.00,1085466.00,1085466
RBA,Mauritius,Strengthening ANBO OMVS,https://open.undp.org/projects/00097214,MUS,1816012,1105128,1105128
RBA,Nigeria,Addressing Critical Information and coord Gaps for Recov,https://open.undp.org/projects/00104159,NERia,1465814,1115417,1115417
RBAP,Philippines,Promoting Water and Sanitation Access,https://open.undp.org/projects/00082882,PHL,1272430,1115695,1115695
RBEC,Turkey,Every Drop Matters,https://open.undp.org/projects/00045776,TUR,1548859.00,1115766.00,1115766
RBAP,China,Water Governance Programme,https://open.undp.org/projects/00136804,CHN,2540000,1120771,1120771
RBAP,Timor-Leste,The ACCESS project,https://open.undp.org/projects/00126532,TLS,2700742,1162431,1162431
RBAS,Lebanon,"Institutional Strengthening of the Min.Environment,Ph.II",https://open.undp.org/projects/00098956,LBN,2493435.00,1163644.00,1163644
RBAP,India,Resilience building of Communities in Guwahati & Ranchi,https://open.undp.org/projects/00107177,IND,1786650,1186668,1186668
RBA,Seychelles,Seychelles Ridge to Reef Project,https://open.undp.org/projects/00116471,SYC,2524486,1189733,1189733
RBA,Uganda,Enhancing Conjunctive Management of Surface &Ground H02,https://open.undp.org/projects/00118810,UGA,3319687,1193252,1193252
RBEC,Kyrgyzstan,Climate resilience of the Batken province,https://open.undp.org/projects/00117027,KGZ,1561347,1220413,1220413
RBAP,Cambodia,Collaborative Management for Watershed and Ecosystem,https://open.undp.org/projects/00090509,KHM,1488565,1244191,1244191
RBAP,China,FSP-Flyways,https://open.undp.org/projects/00096248,CHN,2465631,1246759,1246759
RBEC,Bosnia and Herzegovina,Via Dinarica: A Platform for Sustainable Tourism Development and Local Economic Growth ,https://open.undp.org/projects/00083882,BIH,1456978,1257495,1257495
RBAP,Pakistan,Balochistan SDGs Acceleration Project,https://open.undp.org/projects/00112279,PAK,2502194,1261487,1261487
RBEC,Turkey,Resource Efficiency in Agriculture & Agrobased Ind.GAP,https://open.undp.org/projects/00096620,TUR,1499060.00,1291952.00,1291952
RBLAC,Cuba,FINANCING MECHANISMS IN SUSTAINABLE LAND MANAGEMENT,https://open.undp.org/projects/00085072,CUB,1922126,1292993,1292993
RBAP,Bhutan,National Adaptation Plan (NAP),https://open.undp.org/projects/00080724,BTN,2901974,1328312,1328312
RBAS,Lebanon,Solid waste and Wastewater management,https://open.undp.org/projects/00106573,LBN,1441955,1383505,1383505
RBEC,Uzbekistan,Addressing the urgent human insecurities in the Aral Sea,https://open.undp.org/projects/00123193,UZB,1415913,1388683,1388683
RBAP,Timor-Leste,Supporting Flood Response and Recovery project,https://open.undp.org/projects/00135499,TLS,1523871,1412280,1412280
RBAS,Iraq,Catalytic Climate Action in Iraq,https://open.undp.org/projects/00139778,IRQ,3955061,1423245,1423245
RBAP,Nepal,Developing Climate Resilient Livelihoods,https://open.undp.org/projects/00127610,NPL,3493672,1437447,1437447
RBEC,Kazakhstan,Engagement Facility to support country programme,https://open.undp.org/projects/00125105,KAZ,3135990,1448621,1448621
RBAS,Egypt,Regional Basel Convention Center,https://open.undp.org/projects/00064373,EGY,2127731,1469353,1469353
RBLAC,Costa Rica,7th Operational Phase SGP,https://open.undp.org/projects/00119761,CRI,1754609,1478204,1478204
RBAP,Fiji,Pacific Insurance and Climate Adaptation Programme,https://open.undp.org/projects/00130025,FJI,1823014,1492126,1492126
RBLAC,Cuba,Mi Costa -Coastal Resilience by Ecosystem Based Adaption,https://open.undp.org/projects/00095204,CUB,2115102,1497242,1497242
RBAP,Papua New Guinea,Building Resilience to Climate Change in PNG,https://open.undp.org/projects/00100578,PNG,1771309,1499578,1499578
Global,HQ Unit,"Integrating Water, Land and Ecosystems Management in Car",https://open.undp.org/projects/00082779,Bureau Policy & Prog Support,3627755.00,1499999.00,1499999
RBA,Equatorial Guinea,PIMS 4185 SUSTAINABLE FOREST MANAGEMENT IN EQUATORIAL GU,https://open.undp.org/projects/00060590,GNQ,1934987,1504984,1504984
RBA,Rwanda,Strengthening DRM Capacity in Rwanda(MINEMA),https://open.undp.org/projects/00117442,RWA,1606368,1517358,1517358
RBA,Seychelles,Global Climate Change Alliance Seychelles Programme,https://open.undp.org/projects/00092970,SYC,2532342,1518944,1518944
RBA,Liberia,Mainstreaming Energy & Environment Programme,https://open.undp.org/projects/00126149,LBR,1931218,1546935,1546935
RBAP,Nepal,Promoting Green Recovery through effective and improved,https://open.undp.org/projects/00133945,NPL,1943300,1550002,1550002
RBEC,Republic of Moldova,CC and DRR in water sector,https://open.undp.org/projects/00111725,MDA,1954935,1552826,1552826
RBEC,Bosnia and Herzegovina,Democratic Green Economic Development,https://open.undp.org/projects/00050813,BIH,1918303,1580754,1580754
RBAS,Jordan,Disaster Risk Reduction & Climate Change,https://open.undp.org/projects/00061985,JOR,2129032,1588155,1588155
RBA,Malawi,Malawi â€“ China Post-Disaster Recovery Partnership,https://open.undp.org/projects/00123350,MWI,2048213,1602246,1602246
RBAP,India,Enhancing Effectiveness of Tribal Dev,https://open.undp.org/projects/00110079,IND,2729152,1618559,1618559
RBAS,Iraq,Providing safe drinking water to Basrahâ€™s population,https://open.undp.org/projects/00131182,IRQ,3022833,1697860,1697860
RBAP,Sri Lanka,Strategic support to disaster management,https://open.undp.org/projects/00078432,LKA,1865857,1709827,1709827
RBEC,Bosnia and Herzegovina,Municipal Environmental Governance Project (Phase II),https://open.undp.org/projects/00094439,BIH,2101275,1745400,1745400
RBAP,Fiji,Tonga Ridge to Reef (R2R),https://open.undp.org/projects/00077082,TON,1949937,1759724,1759724
RBA,Sierra Leone,Efficient Energy Production and Utilization of Cookstove,https://open.undp.org/projects/00081156,SLE,2110857,1780062,1780062
RBAS,Prog for Palestinian People,Improved Water and Waste Water in Gaza Strip,https://open.undp.org/projects/00094074,PSE,2087027.00,1790666.00,1790666
RBEC,Georgia,Multi Hazard Warning-SIDA,https://open.undp.org/projects/00113228,GEO,2482169,1802199,1802199
RBAS,Lebanon,Land degradation neutrality of mountain landscapes,https://open.undp.org/projects/00098955,LBN,2175042.00,1815508.00,1815508
RBEC,Kyrgyzstan,Capacity building in Environment,https://open.undp.org/projects/00109172,KGZ,2266561,1845909,1845909
RBAP,Indonesia,Cross-Cutting Capacity Development (CCCD) - Full,https://open.undp.org/projects/00090780,IND,2270837,1877768,1877768
RBEC,Regional Bureau for Europe and the CIS,integrated water resources management in the Dniester River basin,https://open.undp.org/projects/00103544,Regional Center Istanbul,2869099.00,1903457.00,1903457
RBAP,Myanmar,Rebuilding a Post-Coup Democratic Myanmar,https://open.undp.org/projects/00135420,MMR,3465471,1915137,1915137
RBAP,China,FSP-Strengthening PA system in Qinghai,https://open.undp.org/projects/00096253,CHN,2733982,1979907,1979907
RBAS,Lebanon,Lebanon Environmental Pollution Abatement Project,https://open.undp.org/projects/00079305,LBN,3248037.00,2033078.00,2033078
RBAS,Djibouti,UNDP RESPONSE TO THE CRISIS IN DJIBOUTI,https://open.undp.org/projects/00123842,DJI,2967296,2051981,2051981
RBAS,Lebanon,Lebanese Centre for Water Conservation and Management,https://open.undp.org/projects/00058662,LBN,2495759,2054818,2054818
RBA,Ethiopia,Sheger Resilience Program,https://open.undp.org/projects/00129473,ETH,3625081,2083581,2083581
RBLAC,Brazil,BRA/11/001 - Support to Biodiversity Convention,https://open.undp.org/projects/00062222,BRA,9211964,2142339,2142339
RBA,Cabo Verde,CV - Appliances & Building Energy - Efficiency (CABEEP),https://open.undp.org/projects/00088659,CPV,2660678,2168969,2168969
RBAP,Pakistan,Pakistan Snow Leopard and Ecosystem,https://open.undp.org/projects/00088620,PAK,4283699,2193349,2193349
RBAS,Jordan,Mainstreaming Rio Convention Provisions into National Sectoral Policies,https://open.undp.org/projects/00085728,JOR,2584946,2243690,2243690
RBA,Malawi,Transformational Adaptation to Climate Resilience,https://open.undp.org/projects/00126010,MWI,3659240,2276202,2276202
RBAS,Sudan,Emergency Response in Sudan,https://open.undp.org/projects/00133172,SDN,3084674,2289507,2289507
RBLAC,Costa Rica,Programa de PequeÃ±as Donaciones (PPD OP VI)  Fase Seis,https://open.undp.org/projects/00084065,CRI,2602213,2323126,2323126
RBA,Ghana,Ghana Shea Landscape Emission Reductions Project,https://open.undp.org/projects/00102734,GHA,2701413,2406889,2406889
RBAS,Djibouti,Economic recovery and resilient livelihoods,https://open.undp.org/projects/00107644,DJI,2909125,2413887,2413887
RBA,Sierra Leone,Strengthening Access to Health Care and Community Led De,https://open.undp.org/projects/00095444,SLE,2517878,2433220,2433220
RBEC,Bosnia and Herzegovina,UNDP Flood recovery - Housing FBIH,https://open.undp.org/projects/00105031,BIH,3433086,2498837,2498837
RBAP,Fiji,Ridge to Reef - Bio Diversity & Ecosystem protection,https://open.undp.org/projects/00084678,NRU,2839078,2510563,2510563
RBAP,Myanmar,Rakhine Area Based -Triple Nexus Project (RTNP),https://open.undp.org/projects/00139333,MMR,3540774,2512038,2512038
RBAP,Sri Lanka,Small Grants project,https://open.undp.org/projects/00085746,LKA,3489620,2516434,2516434
RBAS,Djibouti,USAID-Crisis Recovery Support,https://open.undp.org/projects/00125686,DJI,3594935,2526037,2526037
RBAS,Syria,Emergency Support to Strengthen the Resilience,https://open.undp.org/projects/00100923,SYR,2636889,2530575,2530575
RBAP,Philippines,Enhancing Greater Metro Manilaâ€™s (GMMA)Institutional Cap,https://open.undp.org/projects/00061036,PHL,2750531,2563787,2563787
RBLAC,Ecuador,National Adaptation Plan,https://open.undp.org/projects/00101840,ECU,3076582,2584446,2584446
RBEC,Kazakhstan,Small Grants Programme in Kazakhstan,https://open.undp.org/projects/00102856,KAZ,2657617,2606637,2606637
RBAP,Indonesia,GEF - Arafura & Timor Seas Action Prog. (ATSEA 2) Region,https://open.undp.org/projects/00111335,IND,3009149,2610937,2610937
RBA,Ethiopia,Livelihood & Recovery Gedeo Guji,https://open.undp.org/projects/00134506,ETH,2848057,2677520,2677520
RBAP,Fiji,MH Water Security Project (GCF),https://open.undp.org/projects/00098709,MHL,3128440,2696744,2696744
RBEC,Republic of Moldova,Advanced cross-river capacities for trade,https://open.undp.org/projects/00104938,MDA,2882280,2723693,2723693
RBEC,Bosnia and Herzegovina,Flood recovery - Housing interventions in Federation of Bosnia and Herzegovina with Hilfswerk Austria International (HWA),https://open.undp.org/projects/00105033,BIH,3994629,2786711,2786711
RBEC,Bosnia and Herzegovina,Flood recovery - Housing interventions in Federation of Bosnia and Herzegovina with Arbeiter-Samariter-Bund (ASB),https://open.undp.org/projects/00105032,BIH,3945192,2844669,2844669
RBAP,Sri Lanka,Climate change adaptation and food security,https://open.undp.org/projects/00091122,LKA,3206977,2857166,2857166
RBA,Sierra Leone,Adaptive Capacity of Water Services to Climate Change,https://open.undp.org/projects/00074076,SLE,3415469,3051825,3051825
RBAP,Timor-Leste,Safeguarding rural communities and their physical assets,https://open.undp.org/projects/00106661,TLS,7101607,3085284,3085284
RBEC,Kyrgyzstan,Biodiversity of Western Tian Shan,https://open.undp.org/projects/00097902,KGZ,4277653,3155301,3155301
RBEC,Uzbekistan,JP Building the Resilience of Local Comm in the Aral Sea,https://open.undp.org/projects/00123059,UZB,3364588,3215580,3215580
RBEC,Republic of North Macedonia,Restoration of Strumica River Basin,https://open.undp.org/projects/00079273,MKD,3563028,3261720,3261720
RBA,Kenya,4KEN Sustainable Blue Economy Conference,https://open.undp.org/projects/00113221,KEN,3821158,3332030,3332030
RBEC,Republic of Moldova,Migration and Local Development,https://open.undp.org/projects/00087156,MDA,3357382,3373388,3373388
RBAS,Lebanon,Sustainable land management,https://open.undp.org/projects/00081592,LBN,4086289.00,3391492.00,3391492
RBLAC,Brazil,Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,https://open.undp.org/projects/00083642,BRA,5260647,3514425,3514425
RBA,Namibia,Scaling up community resilience to climate variability,https://open.undp.org/projects/00083204,NAM,3979931,3548858,3548858
RBEC,Tajikistan,Technology Transfer for Small-Hydropower in Tajikistan,https://open.undp.org/projects/00061194,TJK,3733334,3569434,3569434
RBAS,Sudan,Solar for Agriculture Development in Sudan,https://open.undp.org/projects/00106169,SDN,9209111,3664243,3664243
RBAS,Egypt,Adaptation to Climate Change in the Nile Delta,https://open.undp.org/projects/00057676,EGY,4114078,3672031,3672031
RBAP,Fiji,TV Resilience to Climate Change,https://open.undp.org/projects/00058214,TUV,3955276,3697987,3697987
RBAS,Sudan,Promoting the use of electric water pumps for irrigation,https://open.undp.org/projects/00087168,SDN,5589861,3699119,3699119
RBLAC,Costa Rica,"Wetlands - Conservation, sustainable use of biodiversity",https://open.undp.org/projects/00076970,CRI,3915359,3705843,3705843
RBAP,Fiji,TV Ridge to Reef,https://open.undp.org/projects/00086015,TUV,4367819,3771553,3771553
RBAS,Prog for Palestinian People,Solid Waste management,https://open.undp.org/projects/00109210,PSE,4823202.00,3868760.00,3868760
RBA,Nigeria,PIMS 2047 -Niger Delta Biodiversity Conservation Project,https://open.undp.org/projects/00061066,NERia,4345213,3873264,3873264
RBEC,Tajikistan,Water Supply and Sanitation in Tajikistan,https://open.undp.org/projects/00070081,TJK,4803375,3968163,3968163
RBAP,Fiji,Effective and responsive island-level governance to secure and diversify climate resilient marine-based coastal livelihoods and enhance climate hazard response capacity,https://open.undp.org/projects/00073054,TUV,4885918,4169441,4169441
RBAP,Samoa,Niue Ridge to Reef,https://open.undp.org/projects/00078842,NIU,5513214,4217837,4217837
RBEC,Belarus,WETLANDS FORESTS BIODIVERSITY,https://open.undp.org/projects/00090217,BLR,4501836,4286226,4286226
RBAP,Samoa,Ridge to Reef Approach in Cook Islands_Full Size,https://open.undp.org/projects/00084399,COK,5817223,4288302,4288302
RBA,Namibia,Sustainable Management of Namibias Forested Lands (NAFO,https://open.undp.org/projects/00082143,NAM,4929747,4359232,4359232
RBA,Mauritius,Mainstreaming Biodiversity into the management of CZM,https://open.undp.org/projects/00090446,MUS,6135121,4402764,4402764
RBAS,Sudan,Building resilience in the face of climate change,https://open.undp.org/projects/00130072,SDN,12394678,4486296,4486296
RBA,Mauritius,Integrated Water Resources Management,https://open.undp.org/projects/00060592,MUS,5591885,4500000,4500000
RBEC,Tajikistan,Health System Strengthening in Tajikistan,https://open.undp.org/projects/00104446,TJK,6415130,4566035,4566035
RBAS,Syria,EC Scaling-up Emergency Restoration & Stabilization,https://open.undp.org/projects/00086568,SYR,5544606,4588299,4588299
RBA,Kenya,Stabilization and Recovery,https://open.undp.org/projects/00125338,KEN,4928645,4602092,4602092
RBEC,Ukraine,Bioenergy Technologies,https://open.undp.org/projects/00074537,UKR,5217394,4646289,4646289
RBA,Kenya,Governance for DRR in Kenya,https://open.undp.org/projects/00079449,KEN,4995758,4710208,4710208
RBAP,Cambodia,Cambodian rural livelihoods,https://open.undp.org/projects/00085641,KHM,4976107,4804951,4804951
RBAS,Iraq,Mosul Dam Emergency Preparedness in Iraq,https://open.undp.org/projects/00118833,IRQ,7181993,4904474,4904474
RBA,Malawi,National Climate Resilience Programme,https://open.undp.org/projects/00116269,MWI,6053979,4952178,4952178
RBA,Ghana,Community Resilience through Early Warning (CREW),https://open.undp.org/projects/00072067,GHA,5410590,5187266,5187266
RBA,Nigeria,Support To Early Recovery In The North East Of Nigeria,https://open.undp.org/projects/00101256,NERia,5990198,5235721,5235721
RBEC,Regional Bureau for Europe and the CIS,Kura II: Advancing Water Management (Kura River Basin),https://open.undp.org/projects/00094969,"AZE, GEO",6417662.00,5326268.00,5326268
RBAP,Pakistan,Comprehensive reduction and elimination of POPs,https://open.undp.org/projects/00081936,PAK,8199516,5330888,5330888
RBA,Malawi,Implementing Adaptation Planning,https://open.undp.org/projects/00081840,MWI,5668552,5364198,5364198
RBA,Malawi,Disaster Risk Management Support to Malawi (2012-2016),https://open.undp.org/projects/00067161,MWI,5666156,5502997,5502997
RBAP,Mongolia,Ecosystem Based Adaptation Approach to Maintaining Water Security in Critical Water Catchments in Mongolia,https://open.undp.org/projects/00062394,MNG,5966251.00,5544648.00,5544648
RBAS,Lebanon,Institutional Support to the Ministry of Environment,https://open.undp.org/projects/00037371,LBN,6067293.00,5577999.00,5577999
RBLAC,Cuba,ECOSYSTEM BASED ADAPTATION ARTEMISA AND MAYABEQUE,https://open.undp.org/projects/00069416,CUB,7735021,5591998,5591998
RBEC,Uzbekistan,Developing climate resilience,https://open.undp.org/projects/00066434,UZB,6189143,5618738,5618738
RBA,Malawi,Climate Proofing Local Development Gains in Rural and Urban Areas - PIMS 4508,https://open.undp.org/projects/00080319,MWI,5918327,5637942,5637942
RBAP,Papua New Guinea,PIMS5261 FSP Strengthen Protected Areas,https://open.undp.org/projects/00087986,PNG,6794395,5682502,5682502
RBEC,Tajikistan,DISASTER RISK MANAGEMENT PROGRAMME,https://open.undp.org/projects/00033396,TJK,5321860,5685662,5685662
RBAP,India,Mainstreaming Coastal & Marine Biodiversity Conservation,https://open.undp.org/projects/00060659,IND,6493194,5818120,5818120
RBA,Ethiopia,Climate Change Adap Growth: Imp. CRGE in Highland Areas,https://open.undp.org/projects/00099399,ETH,6710894,5891189,5891189
RBA,Seychelles,Ecosystem Based Adaptation to Climate Change in Seychell,https://open.undp.org/projects/00080054,SYC,6732893,5941377,5941377
RBEC,Turkey,Uplands Rural Development Programme,https://open.undp.org/projects/00113500,TUR,6667182,5964514,5964514
RBEC,Uzbekistan,Sustainable Management of Water Resources in Rural Areas,https://open.undp.org/projects/00080810,UZB,6425457,5975382,5975382
RBA,Nigeria,Stabilisation of the Lake Chad Basin,https://open.undp.org/projects/00107828,NGA,7330250,6200970,6200970
RBEC,Turkmenistan,Energy Efficiency and Renewable Energy for Sustainable W,https://open.undp.org/projects/00080840,TKM,6977817,6238860,6238860
RBAP,Maldives,Low Emission Climate Resilient Development,https://open.undp.org/projects/00077340,MDV,7654922.00,6329648.00,6329648
RBAP,Indonesia,GEF - Forest Area Planning & Mgmt in Kalimantan (KALFOR),https://open.undp.org/projects/00085815,IND,7711732,6349204,6349204
RBA,South Africa,Orange-Senqu River Strategic Action,https://open.undp.org/projects/00100063,ZAF,7390969,6351316,6351316
RBEC,Uzbekistan,Sustainable Development of Mountain Ecosystems,https://open.undp.org/projects/00080814,UZB,7407536,6353258,6353258
RBA,Rwanda,Strengthening Institutional Cap. of ENR Sector (MoE),https://open.undp.org/projects/00116275,RWA,7093048,6541838,6541838
RBAP,Myanmar,Strengthening COVID-19 Recovery and Resilient Livelihood,https://open.undp.org/projects/00130542,MMR,10128783,6686028,6686028
RBAS,Somalia,Resilience through Water-Env-DRM,https://open.undp.org/projects/00128746,SOM,8943772,6805709,6805709
RBAS,Somalia,Integrated Water Resources Management Somalia,https://open.undp.org/projects/00114166,SOM,9020189,6835988,6835988
RBAP,Fiji,Solomon Islands Water Sector Adaptation Project,https://open.undp.org/projects/00078275,SLB,7710412,6969526,6969526
RBLAC,Cuba," Incorporating multiple environmental considerations and their economic implications into the management of landscapes, forests and production sectors in Cuba",https://open.undp.org/projects/00094887,CUB,8362604,7233109,7233109
RBA,Angola,Promoting climate-resilient development and enhanced adaptive capacity to withstand disaster risks in Angolanâ€™s Cuvelai River Basin,https://open.undp.org/projects/00081003,AGO,16244131,7410009,7410009
RBAP,Nepal,Community Based Flood and Glacial Lake Risk Redcution,https://open.undp.org/projects/00069781,NPL,8145855,7462564,7462564
RBAP,Fiji,Ridge to Reef (R2R),https://open.undp.org/projects/00083111,FJI,9820444,7536974,7536974
RBA,Ghana,Increased Resilience to Climate Change in Northern Ghana,https://open.undp.org/projects/00089037,GHA,9447188,7587022,7587022
RBAP,Papua New Guinea,Climate Resilient Communities in PNG,https://open.undp.org/projects/00059799,PNG,11281998,7625542,7625542
Global,HQ Unit,Global Water and Ocean Governance Support Programme,https://open.undp.org/projects/00115482,Bureau Policy & Prog Support,11457786.00,7820662.00,7820662
RBAP,Myanmar,Climate Change Risks-Water Resources & Food Security DZ,https://open.undp.org/projects/00079682,MMR,8050182,7899681,7899681
RBEC,Republic of North Macedonia,Improving Resilience to Floods in the Polog Region,https://open.undp.org/projects/00105396,MKD,13089096,8048882,8048882
RBEC,Kazakhstan,Supporting Kazakhstanâ€™s Transition to a Green Economy,https://open.undp.org/projects/00086627,KAZ,9316196.00,8151172.00,8151172
RBAP,Pakistan,Climate Change Adaptation & Mitigation-II,https://open.undp.org/projects/00075411,PAK,11849502,8345635,8345635
RBA,Ethiopia,REDD+ investment in Ethiopia GOE,https://open.undp.org/projects/00105654,ETH,15306680,8431850,8431850
RBEC,Bosnia and Herzegovina,Local Integrated Development,https://open.undp.org/projects/00080519,BIH,10351072,8740317,8740317
RBA,Lesotho,Reducing vulnerability from climate change,https://open.undp.org/projects/00084520,LSO,11811376,8780247,8780247
RBEC,Bosnia and Herzegovina,Flood recovery - Housing RS,https://open.undp.org/projects/00083429,BIH,10484973,9028040,9028040
RBAS,Lebanon,Covid-19 Response in Palestinian Camps,https://open.undp.org/projects/00131623,LBN,11089157,9110712,9110712
RBEC,Georgia,COBERM4/DIALOGUE,https://open.undp.org/projects/00113230,GEO,9608756,9155316,9155316
RBAP,Fiji,Regional Ridge to Reef - Pacific Island Countries (PICs),https://open.undp.org/projects/00084701,FJI,12937439,9158964,9158964
RBAP,Philippines,Enabling Regions X and XI to Cope with Climate Change,https://open.undp.org/projects/00065172,PHL,10266905,9305205,9305205
RBA,Ethiopia,Climate Resilient Green Economy Programm.,https://open.undp.org/projects/00066813,ETH,10934934,9838508,9838508
RBA,Kenya,4KEN Support to GOK in Enhancing Capacity for LED,https://open.undp.org/projects/00083697,KEN,11019166,9867959,9867959
RBA,Rwanda,Support to Sustainable ENV Management and DRM,https://open.undp.org/projects/00078743,RWA,10278328,9972055,9972055
RBA,Ethiopia,Integrated Landscape Mgt IAP,https://open.undp.org/projects/00097070,ETH,11557645,10024914,10024914
RBEC,Tajikistan,(JPN) Strengthening Disaster Risk Reduction (DRR) and Re,https://open.undp.org/projects/00089898,TJK,12972868,10089230,10089230
RBAS,Libya,Resilience of Local Communities,https://open.undp.org/projects/00101890,LBY,14014658,10375621,10375621
RBEC,Republic of Moldova,Support Local Development,https://open.undp.org/projects/00089235,MDA,10612322,10404910,10404910
RBAP,Philippines,Scaling Up Implementation of the Sustainable Development,https://open.undp.org/projects/00076225,PHL,11439663,10601526,10601526
RBA,Uganda,Building Resilient Communities Wetland Ecosystems and As,https://open.undp.org/projects/00104372,UGA,18625697,10621440,10621440
RBAS,Prog for Palestinian People,Wastewater Management,https://open.undp.org/projects/00099404,PSE,12250684.00,10740502.00,10740502
RBEC,Bosnia and Herzegovina,Country Infrastructure Development Initiative,https://open.undp.org/projects/00110653,BIH,16846984,10937832,10937832
RBEC,Republic of Moldova,Confidence Building Measures Programme V (CBM V),https://open.undp.org/projects/00101999,MDA,14145869,11219801,11219801
RBA,Burundi,Decentralisation et DÃ©veloppement Economique local,https://open.undp.org/projects/00118190,BDI,12731027,11323094,11323094
